station,status,reason,test_mae,test_mse,test_rmse,full_mae,full_mse,full_rmse,model_path,pipeline_path,num_rows,num_samples
8610_Podnanos,trained,,0.012188805126105132,0.0002186199137277126,0.0147858010850854,0.02021938284905644,0.0014978119190872565,0.038701575149950374,models\hidro\model_8610_Podnanos.keras,models\hidro\pipeline_8610_Podnanos.pkl,1667.0,1643.0
8630_Ajdovscina,trained,,0.06217477329708513,0.0038953416550137096,0.06241267223099576,0.02950018253893283,0.0021518919990442297,0.046388489941409275,models\hidro\model_8630_Ajdovscina.keras,models\hidro\pipeline_8630_Ajdovscina.pkl,1648.0,1624.0
8640_Branik,skipped,empty feature columns: ['pretok'],,,,,,,,,,
8670_Bezovljak,trained,,0.08895424769811895,0.022579240918277923,0.15026390424276193,0.030421173174802175,0.002743316437510032,0.0523766783741584,models\hidro\model_8670_Bezovljak.keras,models\hidro\pipeline_8670_Bezovljak.pkl,1668.0,1644.0
8680_Neblo,trained,,0.009283592588012595,0.00013220899348572864,0.011498216969849222,0.019048441892353028,0.0014616379548859683,0.03823137396021713,models\hidro\model_8680_Neblo.keras,models\hidro\pipeline_8680_Neblo.pkl,1693.0,1669.0
8700_Neblo,skipped,empty feature columns: ['pretok'],,,,,,,,,,
8710_Potoki,trained,,0.035224884398937666,0.0012610245563181347,0.03551090756821254,0.017486933154788723,0.0010819409933186415,0.03289287146660567,models\hidro\model_8710_Potoki.keras,models\hidro\pipeline_8710_Potoki.pkl,1695.0,1671.0
9015_Trpcane,skipped,empty feature columns: ['temp_vode'],,,,,,,,,,
9030_Trnovo,trained,,0.008632783645905853,9.410470081540594e-05,0.009700757744393267,0.0370694722331997,0.0023812366203101176,0.04879791614720979,models\hidro\model_9030_Trnovo.keras,models\hidro\pipeline_9030_Trnovo.pkl,1696.0,1672.0
9077_Skocjan,skipped,not enough rows,,,,,,,,,,
9108_Zarecica,trained,,0.03503244111991743,0.0013521950094082275,0.036772204304450225,0.03400197491647512,0.0023224805238304005,0.048192120972524136,models\hidro\model_9108_Zarecica.keras,models\hidro\pipeline_9108_Zarecica.pkl,1695.0,1671.0
9210_Kubed,trained,,0.024487474664777225,0.0009518491199197688,0.030852052118453464,0.04459038671034024,0.0032193284934138706,0.056739126653605365,models\hidro\model_9210_Kubed.keras,models\hidro\pipeline_9210_Kubed.pkl,1460.0,1436.0
9240_Dekani,skipped,empty feature columns: ['pretok'],,,,,,,,,,
9275_Salara,trained,,0.02845135433838149,0.001413633767026241,0.0375983213325574,0.0869648226091974,0.012445167993381752,0.1115579131813685,models\hidro\model_9275_Salara.keras,models\hidro\pipeline_9275_Salara.pkl,712.0,688.0
9280_Pisine,trained,,0.05942338587095362,0.004067291236740556,0.06377531839779835,0.03991696907860362,0.002967777512995233,0.05447731191051219,models\hidro\model_9280_Pisine.keras,models\hidro\pipeline_9280_Pisine.pkl,1687.0,1663.0
9300_Podkastel,trained,,0.01843804101707308,0.000514288338557692,0.02267792624023837,0.03603581885193327,0.0021824698327646947,0.046716911635559716,models\hidro\model_9300_Podkastel.keras,models\hidro\pipeline_9300_Podkastel.pkl,1696.0,1672.0
